Participant,Level,StartThresholdEstimate,MainThresholdEstimate,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial20,Trial21,Trial22,Trial23,Trial24,Trial25,Trial26,Trial27,Trial28,Trial29,Trial30
P3,Body,0.703,0.701,0.734,0.703,0.729,0.713,0.714,0,0.735,0.717,0.716,0.702,0.703,0,0,0,0.705,0.703,0.701,0,0.703,0.706,0.704,0.734,0,0.727,0.702,0.702,0.714,0.711,0.737,0.711
P3,Blocks,0.701,0.700,0.701,0,0.708,0.701,0.716,0.700,0.711,0.729,0,0.724,0.713,0.707,0.758,0.710,0.707,0.703,0.710,0.709,0.713,0,0,0.736,0.720,0.703,0.711,0.725,0.702,0.703,0,0
P4,Body,0.501,0.501,0,0.514,0,0.501,0.528,0,0.511,0.511,0.510,0.510,0,0.514,0.507,0.501,0.512,0,0,0.509,0.501,0,0.509,0,0,0.517,0,0.503,0.504,0.526,0,0.510
P4,Blocks,0.734,0.500,0,0,0,0.734,0,0,0.521,0,0,0.525,0,0,0.534,0,0.537,0.505,0,0.517,0.511,0.502,0.515,0.506,0.516,0.504,0,0.532,0.502,0.500,0,0.535
P5,Body,0.518,0.600,0,0.728,0,0.702,0.518,0.603,0.634,0.620,0.669,0,0.681,0,0.600,0.646,0.614,0,0,0,0.629,0,0.672,0,0.607,0,0.655,0.631,0,0.740,0.619,0.619
P5,Blocks,0.604,0.600,0,0.604,0.605,0,0.630,0.681,0.605,0,0.613,0.628,0.600,0,0.698,0,0.621,0.624,0,0.635,0.639,0.610,0.604,0,0.624,0,0.605,0.613,0.641,0.634,0.641,0.642
P6,Body,0.425,0.600,0.425,0.655,0,0.651,0,0.651,0.680,0,0.656,0,0,0,0.631,0.609,0,0,0.600,0.623,0,0.602,0.603,0.614,0,0.610,0.612,0,0,0,0.645,0.634
P6,Blocks,0.707,0.659,0.715,0.714,0.707,0.718,0.720,0.802,0,0,0,0.731,0.707,0.726,0.730,0.706,0,0.702,0.732,0.725,0,0,0,0.702,0,0,0.665,0,0,0.661,0.659,0.660
P8,Body,0.708,0.702,0.735,0.708,0.729,0.754,0.751,0,0.766,0.736,0.741,0.710,0.725,0,0.705,0.709,0.758,0.747,0.709,0.702,0.749,0.746,0,0.735,0.757,0.747,0,0.720,0.766,0.708,0.723,0.731
P8,Blocks,0.615,0.603,0.666,0.637,0.684,0.648,0.615,0.603,0.712,0.709,0.713,0.717,0.726,0.739,0.728,0.724,0.746,0.782,0.705,0,0.736,0.703,0.786,0.700,0.709,0.730,0.712,0.702,0.701,0.706,0.705,0.779
P9,Body,0.409,0.351,0,0,0.409,0.412,0,0,0.368,0.360,0.416,0.377,0,0.368,0.370,0.351,0,0.358,0.351,0.351,0.354,0.354,0,0.353,0.353,0.383,0.354,0.352,0.422,0.362,0.352,0.373
P9,Blocks,0.360,0.350,0,0.360,0.368,0.364,0.379,0.387,0.362,0.360,0.358,0,0.351,0.350,0,0.352,0.363,0,0.369,0,0.366,0.352,0.368,0.350,0.364,0.395,0.351,0,0.365,0.362,0.359,0.364
P10,Body,0.301,0.301,0.301,0.345,0,0.355,0.305,0.313,0.339,0.301,0.331,0.312,0,0,0.310,0.314,0.310,0.398,0.302,0.308,0.333,0.338,0.354,0.336,0,0.316,0.367,0.310,0.333,0.348,0.302,0
P10,Blocks,0.405,0.210,0,0,0.405,0.450,0,0,0,0,0,0,0,0,0.210,0.253,0.228,0.216,0,0.237,0.224,0.220,0.222,0.211,0,0.220,0.221,0,0.233,0.250,0,0.213
P11,Body,0.540,0.645,0.540,0.737,0.738,0.740,0.753,0,0.754,0,0,0.805,0.768,0,0,0,0.751,0.739,0.716,0.707,0,0,0,0.648,0.672,0.708,0.668,0.645,0.646,0.655,0.662,0
P11,Blocks,0.665,0.612,0.675,0.694,0.681,0.673,0.665,0.668,0,0.699,0.713,0,0.722,0,0.690,0,0,0.681,0.710,0.714,0.706,0,0.641,0,0.635,0.672,0.668,0.650,0,0,0,0.612
P12,Body,0.302,0.281,0.302,0,0.313,0.341,0.303,0.302,0.326,0.316,0.304,0.311,0.308,0,0.306,0.372,0.328,0.369,0.318,0,0.329,0,0,0,0.281,0,0,0.327,0.282,0,0,0.284
P12,Blocks,0.459,0.240,0.459,0,0,0,0,0.334,0,0.303,0.336,0,0.263,0.257,0.248,0.289,0.294,0.240,0.254,0.253,0.253,0.252,0.252,0.244,0.241,0.296,0.248,0.248,0.264,0.292,0,0
P13,Body,0.632,0.651,0.632,0.679,0.674,0,0,0.697,0.653,0.681,0.671,0,0.706,0.666,0.663,0.651,0.654,0.680,0.654,0.654,0,0.652,0.661,0.655,0.667,0.659,0.655,0.723,0.652,0.699,0.673,0.677
P13,Blocks,0.650,0.651,0.667,0.651,0.677,0.650,0.650,0.658,0.651,0.664,0.658,0.655,0,0.653,0.660,0.688,0.668,0.653,0.693,0.687,0.655,0.675,0.660,0.695,0.683,0.701,0.684,0.652,0.704,0.687,0.682,0.676
P14,Body,0.514,0.356,0,0.519,0,0,0.514,0.520,0.516,0,0,0,0.373,0.356,0.362,0.384,0,0,0.444,0,0.407,0.408,0.475,0.409,0.421,0.410,0,0.439,0.436,0.406,0.431,0.425
P14,Blocks,0.594,0.500,0,0.661,0,0.594,0,0,0.523,0.512,0.540,0,0.503,0.518,0.554,0.563,0.521,0.544,0.512,0,0,0.509,0.536,0,0.500,0.513,0.510,0.608,0,0,0.511,0.511
P15,Body,0.603,0.602,0,0.606,0.650,0.626,0.603,0.620,0.659,0.615,0.621,0.604,0.608,0.603,0.614,0.608,0.634,0.606,0.602,0.607,0.636,0.647,0.697,0.659,0.616,0.619,0.659,0.655,0.639,0.647,0.628,0.668
P15,Blocks,0.703,0.602,0.703,0.720,0,0.704,0.705,0.706,0.705,0.625,0.631,0.622,0.619,0.617,0.611,0.630,0.655,0.612,0.606,0.653,0.620,0.604,0.610,0.609,0.602,0.608,0.628,0.615,0.603,0.622,0.614,0.609
P16,Body,0.516,0.500,0,0,0.516,0.562,0,0.529,0,0,0.507,0.521,0.521,0.507,0.519,0.500,0.511,0.509,0.519,0,0.512,0.549,0.546,0.515,0.523,0.506,0.505,0.520,0.523,0.534,0.562,0.583
P16,Blocks,0.501,0.500,0.551,0.522,0.501,0.523,0.522,0.503,0.533,0.522,0.503,0.510,0.514,0.505,0,0.540,0.532,0.511,0.500,0.566,0.519,0.532,0.508,0.554,0.506,0.527,0.501,0.500,0.584,0.521,0.501,0.567
P17,Body,0.405,0.401,0.437,0,0.475,0.405,0.411,0.401,0.429,0.433,0.451,0.457,0.410,0.405,0.411,0.441,0.404,0.432,0.450,0.403,0.407,0,0.425,0.408,0.439,0.415,0.430,0.476,0.422,0.407,0.440,0.409
P17,Blocks,0.401,0.404,0.411,0,0.401,0.480,0.471,0.478,0.413,0.415,0.423,0.449,0.408,0,0.405,0.405,0.406,0.417,0,0.437,0.418,0.404,0.438,0.405,0.418,0.438,0.492,0,0.407,0.445,0.414,0.531
P18,Body,0.559,0.550,0,0.579,0.559,0.572,0.585,0.556,0.558,0.568,0.565,0.572,0.568,0.582,0.578,0.565,0.578,0.568,0.577,0.592,0.569,0.625,0.571,0.588,0.550,0.578,0.557,0.577,0.618,0.566,0.588,0.585
P18,Blocks,0.617,0.551,0,0.624,0.617,0,0.637,0.602,0,0.600,0,0,0.556,0,0.568,0.558,0,0,0.574,0.554,0.561,0.551,0.601,0.593,0.557,0.666,0,0.595,0.565,0.560,0,0.600
P19,Body,0.576,0.570,0.616,0.576,0.694,0.577,0.602,0.571,0.667,0.600,0.582,0.572,0.594,0.591,0.576,0.578,0.579,0.589,0.570,0.579,0.575,0,0.571,0.573,0.655,0.575,0.580,0.610,0.603,0.572,0.577,0.615
P19,Blocks,0.588,0.571,0.597,0.621,0.588,0.592,0.601,0.598,0.572,0.638,0.667,0.571,0.588,0.601,0,0.583,0.581,0.732,0,0.583,0,0.650,0.620,0.592,0.606,0.610,0.592,0,0.599,0.571,0.658,0.589
P20,Body,0.481,0.480,0.483,0.481,0.493,0.571,0.502,0.484,0.523,0.487,0.531,0.487,0.480,0.485,0.508,0.481,0.516,0,0.509,0.485,0.499,0.503,0.506,0.566,0,0.505,0.494,0.482,0.585,0.579,0.512,0.485
P20,Blocks,0.482,0.482,0.487,0.486,0.491,0.491,0.482,0,0.486,0.482,0.508,0.541,0.515,0.560,0.488,0.568,0.490,0,0.497,0.497,0,0.520,0.571,0.497,0,0.593,0.491,0.513,0.530,0.593,0,0.505
